LEYBURN - GROVE HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE110906,Long,-1.832,Lat,54.311,Elevation,650,ft,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894
January,5.73,1.56,,,,,4.55,3.18,-999.00,4.11,-999.00,2.53,4.21,0.70,6.33,3.72,0.47,0.30,1.50,3.34,4.60,6.02,2.34,3.79,3.29,1.59,0.93,5.03,2.02,1.82,1.68,4.02
February,0.95,2.30,,,,,3.90,4.15,-999.00,3.50,-999.00,1.50,1.02,3.15,2.21,1.40,4.65,3.79,4.85,2.95,3.89,2.44,2.80,1.11,1.46,2.79,1.84,1.46,0.07,3.43,4.63,6.05
March,1.92,3.62,1.70,,,,2.25,2.10,1.67,3.66,2.79,2.13,0.71,4.17,4.02,1.37,1.90,1.11,2.87,2.66,3.19,2.93,2.14,4.00,1.99,5.68,3.49,2.56,1.84,1.57,0.75,2.69
April,1.20,0.84,1.10,,,,1.65,0.22,2.86,2.68,0.81,1.48,1.29,3.18,4.59,2.52,2.67,2.63,1.47,4.53,2.90,3.14,1.99,2.89,1.17,2.48,4.64,1.24,4.50,1.55,0.90,1.84
May,1.34,0.90,3.12,,,,4.63,1.30,0.86,1.77,1.78,1.99,1.36,0.92,2.63,4.95,2.20,1.85,1.60,1.73,1.59,0.44,3.47,5.50,1.85,1.46,2.23,2.51,2.81,2.77,2.32,2.90
June,3.62,1.72,0.32,,,0.68,1.42,1.80,3.14,3.63,1.43,0.84,2.85,1.63,1.63,2.50,3.50,2.25,2.26,4.38,2.05,0.54,2.17,1.13,0.24,3.06,0.16,2.95,0.87,3.48,1.98,3.60
July,0.60,0.58,2.20,,,0.62,4.32,0.63,3.91,4.28,1.99,1.21,3.32,2.20,4.01,0.72,4.85,5.64,4.25,3.51,3.81,5.54,0.67,4.45,1.71,4.92,3.13,2.23,4.14,1.61,2.86,2.44
August,3.38,0.66,2.62,,,3.12,1.16,1.73,0.83,5.06,2.22,3.14,2.47,2.53,7.06,6.21,3.82,3.13,6.50,1.88,1.12,1.41,1.92,2.07,2.40,2.30,4.87,5.07,4.70,4.71,2.49,2.06
September,3.82,2.16,0.46,,,4.62,5.58,1.15,5.62,4.85,1.04,2.62,3.05,4.30,2.66,2.53,1.42,4.92,3.48,2.66,4.71,1.94,3.16,2.27,4.47,1.06,0.91,2.23,2.93,2.12,2.13,0.92
October,4.52,6.34,9.32,,,2.58,2.02,7.33,2.15,4.92,2.17,3.49,5.26,2.71,3.97,2.31,1.10,6.41,4.84,4.13,3.90,2.01,6.36,5.78,2.46,1.37,5.78,1.34,4.69,8.17,1.86,5.02
November,2.96,3.16,3.26,,,2.58,-999.00,1.88,1.45,5.89,1.74,1.48,4.93,4.21,4.72,5.32,1.50,3.69,5.21,4.54,2.79,1.98,2.86,3.33,4.01,8.21,1.13,4.64,4.91,1.49,2.26,1.88
December,1.94,1.86,2.32,,,7.88,-999.00,4.68,2.05,5.31,0.64,5.49,2.64,8.86,2.85,3.78,1.79,4.34,3.90,4.49,2.12,4.89,1.26,4.66,2.82,2.03,1.37,1.49,5.20,1.00,3.11,3.28
Total,31.98,25.70,,,,,38.40,30.15,28.27,49.66,21.53,27.90,33.11,38.56,46.68,37.33,29.87,40.06,42.73,40.80,36.67,33.28,31.14,40.98,27.87,36.95,30.48,32.75,38.68,33.72,26.97,36.70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_05_pt1/183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt3/033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt2/016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The estimated aggregate reading for January-May 1868 has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading of 6.92 for November-December 1869 is an aggregate for the two months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading of 3.73 for January-February 1871 is an aggregate for the two months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading of 4.92 for January-February 1873 is an aggregate for the two months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The observer, Mr G.W.Wray, lived at Grove House, Leyburn.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
