HILLSBOROUGH ANAHILT,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7982,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,3.59,1.49,6.58,3.12,2.12,,
February,,,,,,1.41,4.50,2.56,2.69,2.01,,
March,,,,,,1.04,2.71,3.65,1.51,2.59,,
April,,,,,,0.13,1.39,5.31,1.65,2.22,,
May,,,,,,1.83,0.44,3.73,5.52,3.66,,
June,,,,,,3.08,2.70,1.83,2.63,5.99,,
July,,,,,,4.17,2.26,4.43,0.71,5.62,,
August,,,,,,3.17,3.36,4.00,2.30,4.67,,
September,,,,,,4.22,4.70,2.08,4.28,4.22,,
October,,,,,,5.94,4.97,3.13,3.57,1.16,,
November,,,,,,4.57,3.70,3.62,1.82,0.91,,
December,,,,,,1.54,9.33,2.37,2.15,1.26,,
Total,,,,,,34.69,41.55,43.29,31.95,36.43,,
Calc annual,0.00,0.00,0.00,0.00,0.00,34.69,41.55,43.29,31.95,36.43,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,-0.00,0.00,,
