FELTON,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8698,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,,,3.70,1.45,4.10,,,,,
February,,,,,1.53,1.03,1.27,,,,,
March,,,,,2.40,2.35,2.98,,,,,
April,,,,,2.11,2.39,1.45,,,,,
May,,,,,1.43,3.87,3.14,,,,,
June,,,,,0.76,0.94,1.44,,,,,
July,,,,,4.28,1.35,3.67,,,,,
August,,,,,0.96,2.62,0.94,,,,,
September,,,,,2.25,3.59,2.24,,,,,
October,,,,,1.71,4.08,4.18,,,,,
November,,,,,1.56,1.75,4.40,,,,,
December,,,,,2.23,0.96,3.95,,,,,
Total,,,,,24.92,26.38,33.76,,,,,
Calc annual,0.00,0.00,0.00,0.00,24.92,26.38,33.76,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,NaN,NaN,NaN,,
