LLANRHIAN N.P. SCHOOL,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6440,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,4.49,2.69,,,,,,
February,,,,,0.58,5.10,,,,,,
March,,,,,1.96,1.74,,,,,,
April,,,,,3.53,1.86,,,,,,
May,,,,,3.17,3.41,,,,,,
June,,,,,3.02,0.00,,,,,,
July,,,,,5.68,2.16,,,,,,
August,,,,,4.82,3.43,,,,,,
September,,,,,4.71,2.87,,,,,,
October,,,,,4.00,4.25,,,,,,
November,,,,,2.59,2.39,,,,,,
December,,,,,6.63,2.22,,,,,,
Total,,,,,45.18,32.12,,,,,,
Calc annual,0.00,0.00,0.00,0.00,45.18,32.12,0.00,0.00,0.00,0.00,0.00,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,
