"HANDSWORTH (HOWARD ROAD)",,,,,,,,,,,,
Grid ref,SP059909,Long,-1.914487,Lat,52.515954,,,,,,,
Station no,2483/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.53,2.89,0.91,1.11,2.26,3.91,1.20,2.15,3.14,5.65,,
February,2.93,0.55,1.12,2.36,2.14,0.53,2.60,4.47,0.18,2.08,,
March,5.41,2.43,1.51,2.48,3.07,1.05,2.12,1.52,1.37,1.58,,
April,2.66,2.72,2.71,0.53,1.23,1.55,0.24,0.75,3.38,1.14,,
May,3.82,2.82,2.44,2.45,4.96,0.96,1.14,1.90,0.91,1.05,,
June,1.16,1.69,1.83,3.33,2.50,1.90,1.31,3.99,0.89,2.45,,
July,0.99,1.76,3.58,3.75,0.83,2.74,3.84,4.10,2.00,2.81,,
August,4.32,4.12,2.39,4.66,0.51,5.06,3.86,2.21,3.49,3.40,,
September,3.88,1.44,2.26,1.38,1.65,2.76,4.65,3.63,0.24,5.66,,
October,0.83,4.14,1.96,3.11,1.44,1.63,1.45,2.52,2.71,5.03,,
November,7.37,2.30,1.30,5.39,2.35,0.82,2.03,1.85,3.74,3.30,,
December,2.96,3.04,1.27,2.45,2.28,2.81,1.92,3.08,3.95,3.22,,
Total,38.86,29.90,23.28,33.00,25.22,26.72,26.36,32.17,26.00,37.37,,
Calc annual,38.86,29.90,23.28,33.00,25.22,25.72,26.36,32.17,26.00,37.37,,
Difference,0.00,-0.00,0.00,0.00,-0.00,1.00,0.00,0.00,-0.00,0.00,,
