"GLENDEVON, TORMAUKIN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5529,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,5.20,5.61,,,9.72,,14.03,1.61,6.80,
February,,,3.69,5.42,,,7.85,,7.46,2.50,0.85,
March,,,4.36,3.16,,,4.32,,5.08,0.61,2.98,
April,,,3.12,3.75,,,3.12,,1.80,1.37,1.60,
May,,,4.59,2.98,,,3.82,,2.05,4.00,2.85,
June,,,1.53,2.60,,,3.95,,5.92,3.05,3.42,
July,,,7.00,2.66,,,4.58,,3.21,5.00,4.16,
August,,,3.54,8.43,,,4.56,,6.69,6.99,6.10,
September,,,2.47,5.55,,,4.80,,5.09,1.18,,
October,,,3.38,5.80,,,5.68,,8.77,6.56,,
November,,,4.18,3.26,,,8.85,,7.13,7.53,,
December,,,5.67,4.43,,,1.30,,6.80,7.85,,
Total,,,48.73,53.65,,,62.55,,74.03,48.25,,
Calc annual,0.00,0.00,48.73,53.65,0.00,0.00,62.55,0.00,74.03,48.25,28.76,
Difference,NaN,NaN,-0.00,0.00,NaN,NaN,0.00,NaN,0.00,-0.00,NaN,
