PETERBOROUGH-DOGSTHORPE,,,,,,,,,,
Grid ref,TF204006,Long,-0.224147,Lat,52.589876,Elevation,45,ft,,
Station no,1138/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.19,2.19,4.14,1.01,2.16,2.94,
February,,,,2.49,2.3,0.85,2.49,3.09,0.12,
March,,,,1.78,1.95,0.59,1.39,1.05,1.73,
April,,,,0.24,0.49,1.16,0.2,0.72,1.52,
May,,,,3.2,2.85,0.57,1.55,2.26,0.88,
June,,,,2.22,2.54,2.35,1.83,4.19,0.31,
July,,,,2.25,0.21,2.7,3.94,2.77,2.53,
August,,,,4.19,1.16,3.99,1.77,1.29,1.81,
September,,,,1.65,1.31,1.39,3.89,2.2,0.03,
October,,,,2.15,2.07,0.87,0.79,1.37,1.26,
November,,,,4.45,0.86,0.74,1.7,1.36,1.48,
December,,,,2.08,1.39,1.75,2.1,2.18,3.74,
Total,,,,27.89,19.32,21.1,22.66,24.64,18.35,
