"URQUHART ELGIN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR2702,,,,,,,,,,,
,,,,,,,,,,,,
,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,,
January,,,,,,,1.58,1.05,,,,
February,,,,,,,1.76,1.25,,,,
March,,,,,,,0.97,0.89,,,,
April,,,,,,,0.57,0.96,,,,
May,,,,,,,1.47,1.63,,,,
June,,,,,,,3.27,3.33,,,,
July,,,,,,,3.40,3.12,,,,
August,,,,,,,1.69,5.04,,,,
September,,,,,,,1.35,2.64,,,,
October,,,,,,3.74,2.01,,,,,
November,,,,,,2.22,1.95,,,,,
December,,,,,,3.23,1.41,,,,,
Total,,,,,,,21.43,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,9.19,21.43,19.91,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,,
