TIMBERSCOMBE (CROYDON HILL),,,,,,,,,,,,
Grid ref,SS984393,Long,-3.453788,Lat,51.143919,,,,,,,
Station no,2091/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,6.54,1.00,2.80,5.90,5.34,5.12,4.50,6.18,5.27,,
February,,1.51,2.44,4.44,4.32,0.50,6.48,6.00,0.29,5.59,,
March,,3.29,1.64,5.20,1.65,2.18,3.79,1.64,4.58,3.32,,
April,,3.89,3.79,0.60,1.60,2.09,0.18,1.29,4.78,3.73,,
May,,3.91,3.06,2.71,6.42,0.80,2.48,4.94,1.35,,,
June,,1.97,2.46,4.00,4.41,2.36,2.27,4.41,2.45,,,
July,,2.12,3.72,3.48,1.58,4.53,5.16,2.52,3.51,,,
August,,9.42,3.88,4.17,0.77,2.77,4.26,3.70,4.48,,,
September,3.80,5.97,6.29,4.87,1.76,7.42,6.15,6.36,0.20,,,
October,2.38,6.02,3.51,4.85,2.49,2.46,4.10,4.52,5.19,,,
November,9.47,5.46,3.60,11.10,4.89,1.38,2.87,2.77,7.65,,,
December,4.56,4.16,1.83,5.07,8.57,6.54,3.50,4.56,12.18,,,
Total,,54.26,37.22,53.29,44.36,38.37,46.36,47.21,52.84,,,
Calc annual,20.21,54.26,37.22,53.29,44.36,38.37,46.36,47.21,52.84,17.91,,
Difference,NaN,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,NaN,,
