MURLAGANMORE,,,,,,,,,,,,
Grid ref,NN538342,Long,-4.375280,Lat,56.477156,,,,,,,
Station no,5556/4/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,8.58,4.44,5.02,13.53,6.95,3.55,5.48,,
February,,,,5.56,3.51,2.99,6.60,2.78,3.75,5.67,,
March,,,,5.32,1.98,4.31,7.15,1.75,5.14,3.00,,
April,,,,2.56,4.40,3.19,2.50,3.43,5.89,8.90,,
May,,,,5.52,3.86,5.40,3.00,4.85,2.30,4.28,,
June,,,,3.28,3.37,4.33,2.85,3.82,3.44,2.90,,
July,,,,2.83,0.65,5.53,5.35,5.15,5.30,5.50,,
August,,,,5.54,1.65,5.90,6.60,7.50,3.94,4.40,,
September,,,,9.41,6.02,7.94,5.40,7.70,1.45,3.66,,
October,,,,13.93,5.39,6.40,6.98,6.56,8.23,6.69,,
November,,,,13.33,3.91,4.40,2.50,1.52,8.85,6.60,,
December,,,,14.80,13.55,12.15,9.63,9.65,12.18,11.26,,
Total,,,,90.66,52.73,67.56,72.09,61.66,64.02,68.34,,
Calc annual,0.00,0.00,0.00,90.66,52.73,67.56,72.09,61.66,64.02,68.34,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
