CLUANIE CAMP,,,,,,,,,,,,
Grid ref,NH192100,Long,-4.989986,Lat,57.145187,,,,,,,
Station no,5711/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,7.63,8.03,6.15,6.78,-999.00,,,,,
February,,,8.13,5.65,4.63,4.15,-999.00,,,,,
March,,,3.79,5.21,2.34,2.69,-999.00,,,,,
April,,,5.57,2.68,4.28,3.69,-999.00,,,,,
May,,,3.68,4.74,3.78,7.77,-999.00,,,,,
June,,,3.32,3.64,3.56,2.79,-999.00,,,,,
July,,,5.40,3.15,0.98,6.27,-999.00,,,,,
August,,,5.71,4.78,2.06,4.92,-999.00,,,,,
September,,,5.88,9.48,8.54,7.32,-999.00,,,,,
October,,,5.15,11.65,6.53,8.19,-999.00,,,,,
November,,,15.65,10.21,1.76,7.52,-999.00,,,,,
December,,,9.90,16.96,12.51,18.24,-999.00,,,,,
Total,,,79.81,86.18,57.12,80.33,-999.00,,,,,
Calc annual,0.00,0.00,79.81,86.18,57.12,80.33,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,-999.00,NaN,NaN,NaN,,
