"ROCHDALE FIELDHEAD YARD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2862,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,5.67,1.68,4.57,4.06,3.61,7.12,3.74,3.47,3.49,,,
February,4.68,5.61,1.74,1.51,2.59,5.19,5.65,1.18,7.04,,,
March,0.83,2.12,5.72,4.89,5.12,1.38,2.31,3.03,1.93,,,
April,3.02,2.70,1.33,4.47,1.64,1.88,3.26,1.96,1.38,,,
May,2.79,1.71,2.55,3.56,2.64,1.75,2.59,2.55,2.15,,,
June,3.59,3.08,5.26,2.41,2.66,0.96,2.33,2.00,1.27,,,
July,4.38,0.86,3.81,0.85,4.38,4.63,1.94,2.38,3.75,,,
August,6.33,2.29,6.73,2.14,3.26,5.46,2.85,7.00,3.18,,,
September,0.15,4.00,1.54,1.44,3.53,0.80,2.63,2.44,12.59,,,
October,3.64,2.89,5.09,1.93,2.50,1.94,8.43,8.80,3.69,,,
November,5.56,4.45,3.43,5.17,5.83,2.59,3.52,5.01,2.71,,,
December,4.39,6.81,5.39,3.16,6.16,7.17,3.14,2.53,9.51,,,
Total,45.03,38.20,47.16,35.59,43.92,40.87,42.39,42.35,52.69,,,
Calc annual,45.03,38.20,47.16,35.59,43.92,40.87,42.39,42.35,52.69,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,NaN,,
