LOCH SLOY BEINN IME NORTH,,,,,,,,,,,,,,,,,,,,
Grid ref,NN266093,Long,-4.799903,Lat,56.244492,Elevation,1533,ft,,,,,,,,,,,,
Station no,5437/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,10.02,13.14,14.97,10.8,13.5,9.01,13.04,11.5,8.23,8.53,20.45,18.09,4.98,11.27
February,,,,,,,1.5,12.06,17.15,12.55,6.7,6,9.78,10.14,4.86,5.59,9.78,7.45,6.65,12.49
March,,,,,,,6.95,14.7,7.85,11.6,5.92,12.71,4.36,9.39,1.93,5.95,16.17,3.46,13.47,4.35
April,,,,,,,20.3,11.79,16.3,9.25,8.27,7.62,7.3,5.86,10.49,4.29,6.01,7.05,11.01,13.43
May,,,,,,,6.7,6.34,7.55,3.55,3.01,3.89,7.22,6.42,8.36,8.73,6.26,10.38,4.6,6.87
June,,,,,,12.51,8.7,11.18,3.95,6.5,4.73,9.85,2.91,10.66,8.7,11.07,6.08,5.37,7.86,8.18
July,,,,,,11.65,8.7,10.81,7.75,16.6,13,9.86,14.63,9.36,2.05,13.04,14.69,7.95,15.88,10.94
August,,,,,,10.72,0.15,15.66,10.35,16.5,12.25,11.53,11.09,11.82,3.46,10.49,15.01,14.71,9.93,7.3
September,,,,,,16.77,11.4,18.28,7.2,26.4,11.55,8.31,19.11,19.38,13.21,13.71,11.22,12.25,4.04,6.65
October,,,,,,1.15,7.36,24.54,19.15,16.9,5,13.5,12.16,21.41,12.28,8.94,17.84,14.95,14.44,7.47
November,,,,,,11.65,19.56,8.8,15.1,8,19.93,3.68,23.09,23.06,7.75,9.52,8.13,4.58,15.69,15.89
December,,,,,,15,6.93,18.97,22.53,4.99,19.63,10.71,15.26,22.77,20.24,24.15,19.15,14.1,21.39,15.4
Total,,,,,,,108.27,166.27,149.85,143.64,123.49,106.67,139.95,161.77,101.56,124.01,150.79,120.34,129.94,120.24
,,,,,,,,,,,,,,,,,,,,
Station no,5437/7,,,,,,,,,,,,,,,,,,,
Midas,13728,,,,,,,,,,,,,,,,,,,
Hyd No,662142,,,,,,,,,,,,,,,,,,,
