DOWNHAM STRADSETT,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8012,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,2.87,1.45,3.08,1.57,2.36,2.42,,,
February,,,,0.67,1.24,2.56,2.82,0.59,1.31,,,
March,,,,2.31,3.39,1.46,3.00,1.78,0.77,,,
April,,,,2.11,0.41,0.69,1.71,1.78,1.88,,,
May,,,,2.41,0.87,1.32,2.14,0.97,2.83,,,
June,,,,0.81,1.69,0.74,2.30,1.72,0.84,,,
July,,,,1.09,2.64,4.41,1.32,2.86,3.34,,,
August,,,,1.05,1.97,3.96,2.93,4.19,1.83,,,
September,,,,1.37,0.92,0.86,1.58,2.80,6.76,,,
October,,,,3.64,1.69,1.38,3.29,4.10,2.20,,,
November,,,,1.94,2.33,3.08,1.72,1.58,2.54,,,
December,,,,0.50,5.78,4.22,2.96,0.90,3.04,,,
Total,,,,20.77,24.38,27.76,27.34,25.63,29.76,,,
Calc annual,0.00,0.00,0.00,20.77,24.38,27.76,27.34,25.63,29.76,0.00,,
Difference,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,0.00,0.00,NaN,,
