"RHYL GAS OFFICE N WALES",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR2437,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,1.17,0.73,1.53,0.39,1.43,1.80,,,,,,
February,0.33,1.65,0.15,1.52,2.19,0.73,,,,,,
March,1.63,1.28,2.86,0.54,2.00,0.57,,,,,,
April,1.08,1.16,1.56,0.55,1.16,0.84,,,,,,
May,1.06,0.35,3.45,0.03,0.99,2.63,,,,,,
June,2.67,1.79,1.28,2.12,0.93,0.93,,,,,,
July,1.18,2.31,1.31,1.32,0.92,1.50,,,,,,
August,3.38,1.17,1.82,1.56,0.75,4.54,,,,,,
September,1.13,2.03,1.25,0.72,2.02,0.19,,,,,,
October,1.92,0.99,1.33,2.42,1.11,3.07,,,,,,
November,1.15,2.15,1.22,1.74,2.30,2.16,,,,,,
December,1.08,1.62,1.27,1.16,0.77,0.52,,,,,,
Total,17.78,17.23,19.03,14.07,16.57,19.48,,,,,,
Calc annual,17.78,17.23,19.03,14.07,16.57,19.48,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
