FELLING-ON-TYNE (SEWAGE WORKS),,,,,,,,,,,,
Grid ref,NZ311603,Long,-1.516133,Lat,54.936408,,,,,,,
Station no,3555/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.12,1.62,1.45,1.98,4.46,,
February,,,,,,1.80,2.19,3.33,0.59,1.97,,
March,,,,,,0.78,1.08,3.12,0.49,1.54,,
April,,,,,,1.12,0.42,1.52,1.25,0.75,,
May,,,,,,0.38,1.96,3.07,0.53,2.02,,
June,,,,,,3.40,1.59,2.72,1.92,0.41,,
July,,,,,,2.80,2.57,3.00,1.86,3.35,,
August,,,,,,6.02,3.37,2.80,0.34,2.64,,
September,,,,,1.15,3.04,3.66,1.76,0.70,1.90,,
October,,,,,1.27,1.55,1.64,1.16,1.27,6.67,,
November,,,,,1.52,0.93,1.44,0.69,3.61,2.59,,
December,,,,,2.66,2.12,1.49,3.86,3.12,1.99,,
Total,,,,,-999.00,27.06,23.03,28.48,17.66,30.29,,
Calc annual,0.00,0.00,0.00,0.00,6.60,27.06,23.03,28.48,17.66,30.29,,
Difference,NaN,NaN,NaN,NaN,-1005.60,0.00,0.00,-0.00,0.00,0.00,,
