"DARTMOOR PRISON FARM",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1707,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,,,,4.82,9.24,,
February,,,,,,,,,5.00,10.29,,
March,,,,,,,,,4.17,3.28,,
April,,,,,,,,,5.19,5.14,,
May,,,,,,,,,8.85,,,
June,,,,,,,,,4.42,,,
July,,,,,,,,,2.83,,,
August,,,,,,,,,8.96,,,
September,,,,,,,,,4.91,,,
October,,,,,,,,,9.79,,,
November,,,,,,,,,6.25,,,
December,,,,,,,,,6.67,,,
Total,,,,,,,,,71.86,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.86,27.95,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,,
