SETTLE (DUKE ST),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6048,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,0.31,4.32,8.80,9.53,3.44,10.56,4.88,1.91,2.27,,
February,,6.39,4.07,4.66,3.33,3.73,1.12,1.57,1.27,2.72,,
March,,5.62,3.49,2.07,4.45,3.28,4.54,1.79,3.30,2.92,,
April,,1.70,5.27,2.34,1.33,1.67,3.50,1.78,2.21,2.42,,
May,,2.43,1.58,1.62,3.17,2.52,5.05,2.80,1.85,2.62,,
June,,2.88,5.62,4.27,0.55,2.38,1.87,0.22,1.88,0.63,,
July,,6.02,8.96,4.84,5.84,1.46,4.63,2.01,4.62,3.17,,
August,,5.78,3.94,3.18,2.06,1.84,2.69,2.57,4.25,5.79,,
September,,2.63,3.48,5.63,3.28,6.01,4.27,6.02,0.93,1.72,,
October,,3.44,4.19,6.12,3.20,5.85,6.32,2.74,1.82,6.04,,
November,,7.95,8.57,6.62,2.50,2.61,4.32,2.89,7.22,1.94,,
December,,5.24,5.56,4.63,7.01,2.42,5.96,3.57,3.89,2.16,,
Total,,50.39,59.05,54.78,46.25,37.21,54.83,32.84,35.15,34.40,,
Calc annual,0.00,50.39,59.05,54.78,46.25,37.21,54.83,32.84,35.15,34.40,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
