"READING, THE CEDARS, LONDON ROAD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7162,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.08,1.06,4.00,3.37,0.71,3.43,1.12,1.44,3.08,3.36,,
February,2.84,1.58,1.90,0.91,2.83,4.11,4.26,0.95,1.13,2.63,,
March,0.90,1.71,3.62,2.23,4.30,0.95,5.32,1.67,0.99,4.90,,
April,1.65,1.39,0.02,2.72,0.83,0.92,0.76,1.87,3.85,2.55,,
May,1.58,2.62,1.33,3.00,1.70,3.15,2.11,1.17,1.27,0.23,,
June,5.01,1.49,3.69,0.48,1.25,0.84,1.68,2.51,0.84,0.99,,
July,2.23,0.52,1.46,0.79,2.22,5.18,0.88,5.69,5.64,1.71,,
August,2.27,0.92,5.03,0.93,1.83,3.09,4.36,4.14,1.42,2.67,,
September,0.28,0.83,2.73,1.96,0.85,2.87,1.54,1.92,5.03,2.69,,
October,3.62,2.61,2.46,4.80,2.02,3.03,4.69,4.22,1.71,1.02,,
November,3.29,3.24,1.81,2.53,2.23,2.00,4.03,0.72,2.30,1.55,,
December,4.14,6.25,3.03,1.27,6.87,5.64,3.12,1.06,1.99,4.87,,
Total,29.89,24.22,31.08,24.99,27.64,35.21,33.87,27.36,29.25,29.17,,
Calc annual,29.89,24.22,31.08,24.99,27.64,35.21,33.87,27.36,29.25,29.17,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
