DUNSLEY MANOR,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7877,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,,,2.28,3.10,2.38,3.29,,
February,,,,,,,1.82,1.88,2.28,2.14,,
March,,,,,,,1.42,2.80,1.72,1.31,,
April,,,,,,0.67,0.72,2.14,2.16,1.28,,
May,,,,,,3.21,1.59,1.90,1.55,4.28,,
June,,,,,,1.68,3.17,1.43,0.44,1.36,,
July,,,,,,2.65,2.22,2.77,0.53,0.69,,
August,,,,,,3.96,3.55,1.70,4.92,1.14,,
September,,,,,,0.15,4.60,2.28,2.31,4.85,,
October,,,,,,5.58,2.62,2.73,1.94,1.81,,
November,,,,,,2.33,1.98,1.20,1.40,2.41,,
December,,,,,,1.18,1.49,1.42,5.45,4.01,,
Total,,,,,,,27.46,25.35,27.08,28.57,,
Calc annual,0.00,0.00,0.00,0.00,0.00,21.41,27.46,25.35,27.08,28.57,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
