GLEN PARVA SOUTH WIGSTON SEWAGE FARM,,,,,,,,,,,,
Grid ref,SP584977,Long,-1.139699,Lat,52.573993,,,,,,,
Station no,RR6623,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.22,1.76,1.77,2.55,0.66,3.19,0.96,0.77,0.90,,
February,,1.07,1.36,0.65,2.49,0.59,2.09,0.90,0.91,0.59,,
March,,2.01,1.33,3.09,1.67,1.92,1.56,1.00,2.38,2.40,,
April,,1.69,1.90,1.13,0.89,1.46,0.45,1.87,2.78,1.18,,
May,,1.05,2.06,3.42,1.81,0.21,1.56,3.15,1.85,1.47,,
June,,0.98,2.74,2.16,0.11,2.62,3.28,1.89,1.23,2.60,,
July,,5.60,1.34,1.99,2.77,1.21,0.59,2.53,2.98,3.14,,
August,,1.55,4.06,3.34,3.56,3.29,1.14,1.98,3.18,2.33,,
September,,1.09,0.93,2.44,1.14,2.35,1.11,1.00,1.25,2.11,,
October,,1.35,1.15,5.41,0.57,1.05,3.91,4.70,1.07,2.65,,
November,,0.90,1.32,1.58,1.08,2.17,2.89,1.83,0.95,0.45,,
December,,3.78,1.19,1.37,1.47,0.86,2.48,2.61,1.42,3.16,,
Total,,22.29,21.14,28.35,20.11,18.39,24.25,24.42,20.77,22.98,,
Calc annual,0.00,22.29,21.14,28.35,20.11,18.39,24.25,24.42,20.77,22.98,,
Difference,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
