GROSMOUT,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6535,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,5.24,2.13,2.53,2.77,,,,,,
February,,,4.46,-999.00,2.61,1.23,,,,,,
March,,,4.76,1.28,2.53,1.45,,,,,,
April,,,3.71,1.97,1.66,2.01,,,,,,
May,,,2.09,1.72,3.14,1.14,,,,,,
June,,,3.60,1.26,1.66,3.85,,,,,,
July,,,4.37,1.33,2.61,4.64,,,,,,
August,,,3.46,1.20,2.05,2.26,,,,,,
September,,,4.84,1.73,2.41,2.16,,,,,,
October,,,5.26,1.64,2.62,4.71,,,,,,
November,,,8.06,2.21,3.65,7.87,,,,,,
December,,,7.33,0.58,7.25,4.01,,,,,,
Total,,,57.18,18.88,34.72,38.10,,,,,,
Calc annual,0.00,0.00,57.18,17.05,34.72,38.10,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,1.83,0.00,0.00,NaN,NaN,NaN,NaN,,
