"CHATBURN, FIR TREE HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8887,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,3.70,4.91,4.67,11.27,2.05,6.01,
February,,,,,,6.32,5.10,1.78,6.33,0.83,0.50,
March,,,,,,1.56,2.23,3.62,2.62,1.28,2.90,
April,,,,,,2.96,1.50,3.07,1.17,1.14,3.03,
May,,,,,,4.63,3.67,1.40,0.72,2.53,2.19,
June,,,,,,0.07,2.64,3.92,6.20,1.89,2.98,
July,,,,,,1.81,2.96,5.38,2.50,3.82,5.94,
August,,,,,,5.58,4.03,7.38,8.00,6.03,6.32,
September,,,,,,3.62,4.70,7.48,1.51,2.62,4.11,
October,,,,,,5.32,4.72,4.46,5.64,6.06,6.92,
November,,,,,,2.12,6.33,5.38,6.84,6.90,5.88,
December,,,,,,4.02,1.72,1.60,2.42,9.23,4.05,
Total,,,,,,41.71,44.51,50.14,55.22,44.38,50.83,
Calc annual,0.00,0.00,0.00,0.00,0.00,41.71,44.51,50.14,55.22,44.38,50.83,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,-0.00,
