STAVELEY MIDDLE RESTON,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6080,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,7.23,5.77,,,,,,,,
February,,,6.74,8.09,,,,,,,,
March,,,4.08,2.47,,,,,,,,
April,,,2.99,4.43,,,,,,,,
May,,,3.53,3.92,,,,,,,,
June,,,2.51,1.43,,,,,,,,
July,,,6.45,6.40,,,,,,,,
August,,,6.10,10.25,,,,,,,,
September,,,4.58,7.98,,,,,,,,
October,,,2.44,12.13,,,,,,,,
November,,,3.81,10.40,,,,,,,,
December,,,9.70,7.20,,,,,,,,
Total,,,60.16,80.47,,,,,,,,
Calc annual,0.00,0.00,60.16,80.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
