EDGWARE (EDGWAREBURY PARK),,,,,,,,,,,,
Grid ref,TQ189932,Long,-0.283741,Lat,51.625066,,,,,,,
Station no,872/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.70,2.64,1.94,,
February,,,,,,,,2.55,0.08,2.22,,
March,,,,,,,,1.30,2.29,1.86,,
April,,,,,,,0.21,1.58,2.46,0.68,,
May,,,,,,,1.17,2.68,0.58,2.35,,
June,,,,,,,1.16,5.28,1.51,1.42,,
July,,,,,,,3.17,2.85,2.01,3.77,,
August,,,,,,,2.33,3.39,1.53,1.95,,
September,,,,,,,2.60,4.44,0.03,4.09,,
October,,,,,,,1.94,2.68,2.08,5.62,,
November,,,,,,,2.12,2.36,2.51,4.03,,
December,,,,,,,2.29,3.43,3.70,2.22,,
Total,,,,,,,,35.24,21.42,32.15,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,16.99,35.24,21.42,32.15,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
