ABERDARE TREHERBERT,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7451,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,7.69,7.28,21.83,-999.00,14.66,16.93,8.00,18.24,7.84,,,
February,9.46,8.76,13.09,2.15,8.82,6.33,15.13,9.37,7.40,,,
March,6.01,5.62,7.04,5.97,7.91,4.58,9.97,6.08,4.93,,,
April,0.90,10.07,3.23,1.46,6.65,5.91,8.27,6.55,4.86,,,
May,7.40,0.68,4.27,4.74,1.98,6.68,0.82,7.85,10.75,,,
June,1.11,3.30,9.21,4.15,3.32,9.35,5.45,6.39,4.68,,,
July,3.31,11.56,7.25,8.72,2.98,8.14,4.48,9.70,3.24,,,
August,4.89,4.29,4.10,9.19,12.92,10.86,7.32,11.54,7.78,,,
September,2.50,8.98,11.21,7.63,7.35,8.24,11.24,6.97,4.83,,,
October,16.67,9.11,12.81,9.97,16.01,12.73,11.15,12.41,10.80,,,
November,8.94,1.98,17.17,4.91,5.59,11.97,7.56,17.76,4.20,,,
December,3.73,9.97,15.42,7.10,6.42,8.81,18.39,8.16,3.10,,,
Total,72.61,81.60,126.63,84.59,94.61,110.53,107.78,121.02,74.41,,,
Calc annual,72.61,81.60,126.63,65.99,94.61,110.53,107.78,121.02,74.41,0.00,,
Difference,-0.00,-0.00,0.00,18.60,0.00,0.00,-0.00,0.00,0.00,NaN,,
