"GLASTONBURY HIGH STREET",,,,,,,,,,,,
Grid ref,ST501396,Long,-2.714853,Lat,51.153469,,,,,,,
Station no,RR4768,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.00,2.34,0.85,3.39,2.92,0.92,4.16,0.48,,,,
February,3.78,0.84,1.16,1.74,3.90,0.69,1.85,1.40,,,,
March,1.35,1.57,1.78,3.01,0.89,3.51,1.77,0.33,,,,
April,1.85,2.34,1.61,2.84,0.83,2.51,1.50,2.61,,,,
May,2.21,1.03,1.88,2.35,2.42,0.11,3.44,2.29,,,,
June,2.69,0.78,3.48,2.96,0.92,3.31,1.70,2.10,,,,
July,1.57,1.81,1.36,2.09,3.52,0.68,1.10,1.87,,,,
August,2.77,2.13,2.65,4.41,3.19,4.24,1.62,3.18,,,,
September,0.50,2.00,1.98,2.95,2.50,1.45,0.85,0.58,,,,
October,2.90,1.80,2.21,6.14,1.84,1.48,4.39,,,,,
November,2.84,0.47,3.03,1.74,2.39,3.35,2.31,,,,,
December,6.13,4.95,1.82,2.81,1.83,0.93,1.21,,,,,
Total,33.59,22.06,23.81,36.43,27.15,23.18,25.90,,,,,
Calc annual,33.59,22.06,23.81,36.43,27.15,23.18,25.90,14.84,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
