LOCH SHIN (CASSLEY POWER STATION),,,,,,,,,,
Grid ref,NC396232,Long,-4.728502,Lat,58.168437,Elevation,325,ft,,
Station no,5799/2/4/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,6.25
February,,,,,,,,,,4.47
March,,,,,,,,,,1.07
April,,,,,,,,,,5.47
May,,,,,,,,,,1.79
June,,,,,,,,,,2.69
July,,,,,,,,,,2.66
August,,,,,,,,,,3.67
September,,,,,,,,,,3.08
October,,,,,,,,,,2.58
November,,,,,,,,,,4.34
December,,,,,,,,,,10.7
Total,,,,,,,,,,48.77
,,,,,,,,,,
Station no,5799/2/4/5,,,,,,,,,
Midas,40,,,,,,,,,
Hyd Stn,781338,,,,,,,,,
