KEITH (ISLA BANK MILLS),,,,,,,,,,,,
Grid ref,NJ430510,Long,-2.953928,Lat,57.545510,,,,,,,
Station no,5664/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.48,3.44,2.57,2.06,1.67,4.11,2.53,3.42,7.57,6.28,,
February,4.47,2.02,2.68,2.02,3.26,2.25,2.15,4.81,0.52,5.06,,
March,3.64,2.76,0.65,2.25,1.93,0.75,2.39,2.85,0.98,2.60,,
April,4.12,2.72,3.05,0.98,1.39,1.82,1.15,3.70,2.21,2.30,,
May,1.40,1.95,1.90,5.02,3.94,0.80,2.13,3.03,0.99,0.73,,
June,4.38,2.64,4.01,4.14,2.45,2.86,2.70,2.16,1.20,4.30,,
July,4.07,2.81,4.78,3.96,0.82,6.53,5.67,8.55,2.82,3.86,,
August,3.84,5.48,2.63,3.17,1.99,3.41,5.46,3.69,1.26,6.35,,
September,1.22,5.73,3.13,1.98,1.96,2.03,2.84,1.97,1.00,2.76,,
October,1.27,3.10,0.98,5.63,6.79,3.36,1.80,2.23,5.23,6.96,,
November,6.60,5.50,2.11,4.95,1.24,2.20,3.55,1.52,5.83,3.68,,
December,2.55,4.81,2.75,4.25,4.68,2.38,3.58,3.53,3.60,1.57,,
Total,40.04,42.96,31.24,40.41,32.12,32.50,35.95,41.46,33.21,46.45,,
Calc annual,40.04,42.96,31.24,40.41,32.12,32.50,35.95,41.46,33.21,46.45,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
