IWERNE MINSTER VICARAGE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1626,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,2.80,2.73,3.04,3.09,0.78,5.82,7.22,2.99,6.33,,,
February,2.36,0.07,5.03,0.12,4.11,3.18,5.08,1.04,2.05,,,
March,1.17,1.81,3.80,3.49,1.24,4.08,4.91,0.18,1.30,,,
April,2.76,3.18,1.28,2.36,4.21,1.88,1.73,0.02,2.18,,,
May,2.89,3.97,1.51,1.07,1.16,0.58,2.37,2.26,0.55,,,
June,3.69,2.71,2.11,1.07,4.13,2.06,0.79,0.50,2.04,,,
July,4.52,2.85,2.05,0.73,0.66,4.53,2.33,3.38,5.45,,,
August,4.46,0.79,1.02,3.32,2.45,0.10,1.22,2.12,4.60,,,
September,1.36,3.84,2.05,3.25,3.11,3.49,3.86,2.02,1.01,,,
October,0.57,5.92,2.16,1.83,5.19,1.40,5.89,2.85,4.74,,,
November,6.06,2.06,0.90,1.85,7.89,3.18,1.63,5.18,6.84,,,
December,1.04,1.75,1.16,9.56,5.80,3.98,4.58,4.52,1.68,,,
Total,33.68,31.68,26.11,31.74,40.73,34.28,41.61,27.06,38.77,,,
Calc annual,33.68,31.68,26.11,31.74,40.73,34.28,41.61,27.06,38.77,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
