LLANGURIG (CEFN-BRYN),,,,,,,,,,,,
Grid ref,SN830837,Long,-3.722602,Lat,52.438707,,,,,,,
Station no,4245/6/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,6.89,5.73,11.24,12.06,7.76,10.12,12.42,,
February,,,,7.13,5.06,2.12,7.01,15.01,2.43,7.41,,
March,,,,6.96,4.50,6.45,9.39,2.61,7.13,3.52,,
April,,,,2.80,8.35,2.40,1.13,4.17,7.03,7.61,,
May,,,,4.21,9.06,2.91,3.88,6.71,2.50,2.29,,
June,,,,7.36,8.60,5.14,3.68,5.13,4.36,3.43,,
July,,,,14.78,1.81,7.32,11.58,7.92,7.62,10.61,,
August,,,,9.71,2.54,13.83,14.10,6.34,0.94,8.69,,
September,,,,12.01,7.50,9.76,16.48,11.58,0.84,8.35,,
October,,,,19.37,6.26,7.14,14.18,7.33,13.62,6.49,,
November,,,,15.80,2.98,6.48,4.25,5.58,8.94,15.55,,
December,,,,16.03,12.72,10.87,11.74,7.46,14.81,14.65,,
Total,,,,123.05,75.11,85.66,109.48,87.60,80.34,101.02,,
Calc annual,0.00,0.00,0.00,123.05,75.11,85.66,109.48,87.60,80.34,101.02,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
