LLANHILLETH (PEN-Y-FAN),,,,,,,,,,,,
Grid ref,SO198012,Long,-3.161975,Lat,51.703787,,,,,,,
Station no,4005/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,7.06,7.52,5.39,6.43,7.18,,
February,,,,,,0.50,7.50,7.54,0.50,5.46,,
March,,,,,,2.13,6.18,3.04,5.31,4.13,,
April,,,,,,2.11,0.16,1.33,5.90,4.42,,
May,,,,,,1.92,2.30,5.37,2.22,2.15,,
June,,,,,,3.64,1.11,4.58,2.42,2.59,,
July,,,,,,5.45,5.33,5.35,6.70,6.30,,
August,,,,,,5.41,5.38,5.25,1.14,5.98,,
September,,,,,,7.93,7.56,10.14,0.32,7.94,,
October,,,,,,2.56,4.99,7.03,5.61,10.95,,
November,,,,,,2.21,3.11,2.75,6.25,12.75,,
December,,,,,,10.30,5.03,5.34,15.63,8.02,,
Total,,,,,,51.22,56.17,63.11,58.43,77.87,,
Calc annual,0.00,0.00,0.00,0.00,0.00,51.22,56.17,63.11,58.43,77.87,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,0.00,,
