BLACK MOUNTAINS CWM CRIGUS UCHAF NO 6B,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7185,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,6.34,8.03,3.73,5.60,3.28,3.35,,,,
February,,,4.61,3.26,8.83,10.75,10.34,1.76,,,,
March,,,10.17,9.95,8.39,1.40,8.66,6.14,,,,
April,,,0.60,7.68,2.07,2.30,2.75,4.41,,,,
May,,,2.59,5.62,3.72,6.71,5.08,6.82,,,,
June,,,5.87,2.41,3.96,1.86,3.65,3.18,,,,
July,,,6.70,1.26,6.82,6.59,2.11,3.67,,,,
August,,,13.02,4.04,4.68,4.95,3.37,12.88,,,,
September,,,2.05,4.46,2.97,0.94,3.74,3.78,,,,
October,,,6.55,9.07,5.86,7.33,11.54,7.78,,,,
November,,8.32,3.61,7.94,9.00,4.03,7.01,3.27,,,,
December,,13.16,8.48,3.30,12.55,12.17,3.92,1.44,,,,
Total,,,70.59,67.02,72.58,64.63,65.45,58.48,,,,
Calc annual,0.00,21.48,70.59,67.02,72.58,64.63,65.45,58.48,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,,
