PENISTONE (BROADSTONE RES) NEW SITE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3170/1,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,3.76,4.09,5.76,7.51,5.41,6.19,4.31,10.09,2.46,3.00,,
February,5.34,1.62,3.56,2.56,5.05,6.78,4.55,3.67,2.83,7.83,,
March,6.07,1.95,2.25,0.75,1.23,2.36,9.09,2.05,1.57,2.21,,
April,3.05,1.92,3.10,2.57,2.91,2.49,5.25,2.74,4.28,4.42,,
May,2.86,3.59,3.05,3.12,4.90,2.78,3.32,1.79,2.44,3.22,,
June,0.82,1.20,2.24,2.05,3.97,3.94,3.13,4.50,0.72,1.41,,
July,2.19,3.38,1.62,3.03,1.97,3.37,1.97,1.54,4.91,2.33,,
August,4.27,5.29,3.65,3.82,3.16,4.12,0.53,5.17,2.51,3.24,,
September,0.46,2.31,4.28,6.17,1.97,6.47,1.89,1.46,1.53,5.71,,
October,5.20,4.56,2.50,4.50,7.31,2.12,1.17,2.08,4.60,2.34,,
November,3.73,1.71,3.37,7.62,0.72,8.34,5.81,1.66,6.36,5.81,,
December,2.65,3.36,2.38,4.49,2.91,4.27,4.82,4.53,8.63,3.21,,
Total,40.40,34.98,37.76,48.19,41.51,53.23,45.84,41.28,42.84,44.73,,
Calc annual,40.40,34.98,37.76,48.19,41.51,53.23,45.84,41.28,42.84,44.73,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
