MELTON MOWBRAY (SOMERBY GROVE),,,,,,,,,,,,
Grid ref,SK774105,Long,-0.856399,Lat,52.686671,,,,,,,
Station no,2508/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.63,,1.36,2.78,2.46,5.77,,
February,,,,,2.54,,2.88,3.77,0.02,2.40,,
March,,,,,2.82,,2.36,2.29,2.25,2.03,,
April,,,,,1.26,,0.42,0.60,2.70,0.60,,
May,,,,,3.66,,1.48,2.96,0.59,1.27,,
June,,,,,3.51,,2.35,5.59,1.18,1.95,,
July,,,,,0.47,,4.75,3.81,1.43,3.58,,
August,,,,,0.90,,2.66,2.00,1.39,4.89,,
September,,,,,1.16,,5.08,2.49,0.42,4.58,,
October,,,,3.14,1.93,,1.05,2.10,2.04,7.26,,
November,,,,5.39,1.24,,2.20,1.53,2.38,3.85,,
December,,,,3.06,2.08,,2.71,2.42,4.20,4.00,,
Total,,,,,24.20,,29.30,32.34,21.06,42.18,,
Calc annual,0.00,0.00,0.00,11.59,24.20,0.00,29.30,32.34,21.06,42.18,,
Difference,NaN,NaN,NaN,NaN,0.00,NaN,0.00,0.00,0.00,0.00,,
