"DUDLEY (SHAVERS END NO.3)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2317/2,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,2.05,1.94,2.97,1.12,,,,,,,
February,,0.28,3.21,0.34,2.38,,,,,,,
March,0.20,1.37,2.58,1.98,0.72,,,,,,,
April,3.80,3.20,0.85,2.12,3.47,,,,,,,
May,4.00,5.47,1.64,1.05,1.14,,,,,,,
June,4.07,1.29,3.05,1.23,3.79,,,,,,,
July,3.09,3.04,2.11,1.21,0.46,,,,,,,
August,5.18,2.45,1.03,2.13,1.83,,,,,,,
September,2.60,2.53,0.47,1.69,4.63,,,,,,,
October,1.04,4.03,4.68,1.57,4.25,,,,,,,
November,3.21,2.31,0.91,2.14,5.79,,,,,,,
December,0.98,0.86,0.45,4.75,3.18,,,,,,,
Total,,28.88,22.92,23.18,32.76,,,,,,,
Calc annual,28.17,28.88,22.92,23.18,32.76,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
