SUTTON-HALL-TREATMENT-WORKS,,,,,,,,,,
Grid ref,SJ371757,Long,-2.9447002,Lat,53.274535,Elevation,125,ft.,,
Station no,2782/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.44,4.94
February,,,,,,,,,0.19,1.95
March,,,,,,,,,1.26,1.54
April,,,,,,,,,3.06,1
May,,,,,,,,,1.45,1.91
June,,,,,,,,4.54,2.44,1.08
July,,,,,,,,3.76,3.13,3.44
August,,,,,,,,4.14,1.75,4.48
September,,,,,,,,3.59,0.19,4.32
October,,,,,,,,2.79,2.37,4.21
November,,,,,,,,1.97,4.64,4.84
December,,,,,,,,3.11,4.38,2.92
Total,,,,,,,,,28.3,36.63
,,,,,,,,,,
MIDAS src_id 11763 SUTTON HALL P STA Start 1958 end 2004,,,,,,,,,,
NGR is from the 1950s record and is the treatment works. Altitudes match.,,,,,,,,,,
