WOLLASTON (PUMPING STATION),,,,,,,,,,,,
Grid ref,SP889641,Long,-0.698676,Lat,52.267883,,,,,,,
Station no,1112/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.40,1.40,1.06,0.80,1.70,3.32,0.93,2.48,3.40,3.01,,
February,3.20,0.55,1.36,1.95,1.25,0.33,2.05,2.88,0.05,1.89,,
March,3.24,2.25,0.67,2.13,2.00,0.83,1.65,1.54,2.84,1.64,,
April,2.66,1.98,1.84,0.19,0.58,0.95,0.32,0.74,1.73,0.39,,
May,3.12,2.58,1.52,2.59,3.60,0.47,1.75,2.10,0.32,1.08,,
June,0.89,1.34,1.58,2.76,2.38,3.17,2.38,5.21,0.48,2.77,,
July,0.93,0.34,2.87,2.58,0.14,4.71,3.24,2.70,2.60,2.80,,
August,3.56,3.22,2.16,3.38,0.56,3.78,1.75,2.19,0.61,2.37,,
September,1.79,2.18,1.47,2.19,1.34,1.66,3.81,2.18,0.02,4.25,,
October,0.71,2.81,1.52,1.84,1.51,1.35,1.72,2.06,1.42,4.45,,
November,4.18,2.65,1.64,4.86,1.33,0.52,1.73,1.84,1.79,3.41,,
December,1.69,2.13,0.50,2.03,1.53,2.86,2.37,2.39,4.06,3.03,,
Total,28.37,23.43,18.19,27.30,17.92,23.95,23.70,28.31,19.32,31.09,,
Calc annual,28.37,23.43,18.19,27.30,17.92,23.95,23.70,28.31,19.32,31.09,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
