WEST HADDON (FOXHILL),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1121/6,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,1.70,0.94,3.68,3.95,2.87,6.12,2.90,,
February,,,,0.72,2.28,2.19,3.56,0.94,1.06,3.04,,
March,,,,1.76,0.41,1.32,3.23,0.31,1.86,2.26,,
April,,,,1.87,4.00,2.28,3.25,0.08,1.99,2.37,,
May,,,,0.99,1.05,0.52,3.35,1.39,1.15,1.23,,
June,,,,0.94,3.60,2.73,0.91,1.14,2.39,0.51,,
July,,,,2.21,0.89,4.09,2.01,1.81,2.90,3.20,,
August,,,,1.62,1.47,0.38,1.17,3.45,3.29,0.06,,
September,,,,1.73,3.65,2.11,1.30,1.76,0.51,0.86,,
October,,,,1.36,3.81,1.96,2.79,2.57,6.66,3.78,,
November,,,,2.07,5.20,2.54,1.26,2.55,3.53,7.10,,
December,,,,4.23,3.29,2.01,1.94,3.56,1.12,1.42,,
Total,,,,21.20,30.59,25.81,28.72,22.43,32.58,28.73,,
Calc annual,0.00,0.00,0.00,21.20,30.59,25.81,28.72,22.43,32.58,28.73,,
Difference,NaN,NaN,NaN,-0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,,
