"ASHBURTON, ORCHARD MOUNT",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8864,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,6.70,2.75,6.61,9.70,8.89,,,,,
February,,,7.07,11.55,2.43,7.21,4.94,,,,,
March,,,5.66,2.44,3.02,0.53,1.50,,,,,
April,,,5.90,5.11,5.29,3.38,3.15,,,,,
May,,,0.88,2.34,6.42,5.18,1.59,,,,,
June,,,0.75,0.15,2.66,0.00,4.55,,,,,
July,,,5.64,1.91,5.58,3.15,1.02,,,,,
August,,,4.53,3.98,4.07,4.48,2.22,,,,,
September,,,3.49,4.53,6.67,4.29,1.03,,,,,
October,,,2.12,10.48,8.25,5.77,3.81,,,,,
November,,,4.50,4.65,5.29,4.94,11.96,,,,,
December,,,9.53,5.16,10.12,8.96,0.59,,,,,
Total,,,56.77,55.05,66.41,57.59,45.25,,,,,
Calc annual,0.00,0.00,56.77,55.05,66.41,57.59,45.25,0.00,0.00,0.00,0.00,
Difference,NaN,NaN,0.00,0.00,-0.00,0.00,-0.00,NaN,NaN,NaN,NaN,
