ZEAL MONACHORUM,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8392,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,2.02,4.64,6.13,4.92,3.10,6.76,0.85,5.14,2.86,4.61,,
February,3.46,2.31,4.25,3.54,2.56,2.00,4.25,3.93,1.25,4.39,,
March,2.72,1.53,3.10,4.24,1.35,1.34,5.87,2.96,3.00,0.79,,
April,0.31,5.00,3.20,1.19,2.23,1.52,3.27,5.15,4.11,3.67,,
May,1.20,0.71,2.30,1.78,1.24,3.04,0.24,1.66,4.34,2.49,,
June,0.80,2.62,3.30,0.87,2.02,2.92,1.51,2.57,6.20,5.47,,
July,1.07,6.03,5.47,3.25,1.68,2.75,1.02,4.76,1.93,4.34,,
August,6.56,1.36,2.19,6.59,3.99,3.50,4.19,4.09,5.15,5.41,,
September,1.56,6.35,3.96,2.16,7.29,4.88,6.44,2.17,2.85,3.19,,
October,6.00,5.98,6.84,4.00,5.27,6.83,3.14,1.85,5.44,1.79,,
November,2.93,1.60,4.82,3.88,3.15,6.46,4.79,6.69,4.05,0.30,,
December,2.13,2.97,6.35,1.16,5.40,1.29,9.81,2.84,3.77,1.79,,
Total,30.76,41.10,51.91,37.58,39.28,43.29,45.38,43.81,44.95,38.24,,
Calc annual,30.76,41.10,51.91,37.58,39.28,43.29,45.38,43.81,44.95,38.24,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
