"GANLLWYD, MAESGWM CAMP",,,,,,,,,,,,
Grid ref,SH716277,Long,-3.907334,Lat,52.831477,,,,,,,
Station no,RR8774,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,9.25,7.66,12.82,4.55,9.07,15.08,,
February,,,,,3.43,0.92,5.74,14.96,3.02,9.10,,
March,,,,,2.94,4.47,10.18,2.52,4.16,1.89,,
April,,,,,8.16,3.19,2.41,4.24,7.12,6.38,,
May,,,,,7.97,3.06,3.19,8.15,1.29,1.42,,
June,,,,,10.10,2.60,2.31,5.98,3.93,4.13,,
July,,,,,1.98,8.37,14.96,6.55,3.81,7.34,,
August,,,,,2.62,13.52,10.25,7.97,0.55,6.55,,
September,,,,,5.03,7.85,12.33,12.70,1.13,5.42,,
October,,,,,5.20,7.64,15.01,10.00,10.94,4.02,,
November,,,,,2.60,4.85,3.13,4.26,9.97,14.04,,
December,,,,,10.27,10.65,9.33,6.98,18.15,10.82,,
Total,,,,,69.55,74.78,101.66,88.86,73.14,86.19,,
Calc annual,0.00,0.00,0.00,0.00,69.55,74.78,101.66,88.86,73.14,86.19,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,-0.00,0.00,0.00,,
