"LOCH TORRIDON SHIELDAIG",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5784/9,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,,,3.92,6.81,2.02,6.20,4.82,,
February,,,,,,0.67,2.87,3.61,7.46,2.09,,
March,,,,,,4.23,9.57,4.89,5.97,4.97,,
April,,,,,,3.87,6.26,3.16,4.17,5.82,,
May,,,,,,1.88,2.13,2.93,3.06,3.46,,
June,,,,,,2.92,4.82,1.41,3.52,2.39,,
July,,,,,,3.70,4.25,3.45,4.31,3.28,,
August,,,,,,5.34,6.25,3.14,4.91,2.07,,
September,,,,,,4.73,6.24,6.90,6.38,9.03,,
October,,,,,,11.08,8.74,3.63,3.45,5.13,,
November,,,,,,5.37,5.22,5.63,5.94,8.30,,
December,,,,,,4.70,4.82,6.48,13.83,4.54,,
Total,,,,64.84,57.99,52.41,67.98,47.25,69.20,55.90,,
Calc annual,0.00,0.00,0.00,0.00,0.00,52.41,67.98,47.25,69.20,55.90,,
Difference,NaN,NaN,NaN,64.84,57.99,-0.00,0.00,0.00,0.00,0.00,,
