"COMBS RESERVOIR NR. WHALEY BRIDGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR90,,,,,,,,,,,
,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,,
January,3.18,,,,2.47,1.68,3.23,1.58,,,,
February,1.99,,,,1.48,0.79,1.20,2.28,,,,
March,0.33,,,,3.07,2.00,1.91,1.14,,,,
April,0.68,,,,0.58,1.68,4.10,2.35,,,,
May,1.88,,,,0.10,1.85,1.49,4.15,,,,
June,3.81,,,,1.57,3.57,2.62,2.88,,,,
July,5.18,,,,3.67,3.97,2.48,0.93,,,,
August,5.22,,,,3.83,7.52,4.45,3.48,,,,
September,3.71,,,,2.26,4.00,1.02,5.74,,,,
October,2.18,,,,2.82,2.75,4.36,3.62,,,,
November,4.87,,,,2.50,2.36,1.89,3.18,,,,
December,0.35,,,,0.12,4.73,1.18,4.24,,,,
Total,33.38,,,,24.47,36.90,29.93,35.57,,,,
Calc annual,33.38,0.00,0.00,0.00,24.47,36.90,29.93,35.57,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,NaN,NaN,,
