"BRAHAN CASTLE, ROSSHIRE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6095,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,,,2.90,2.39,5.21,1.46,,
February,,,,,,,3.83,2.50,4.61,4.64,,
March,,,,,,,1.76,1.27,2.62,0.63,,
April,,,,,,,1.13,3.12,2.21,1.45,,
May,,,,,,,1.63,2.26,1.66,1.26,,
June,,,,,,,0.79,2.77,1.02,1.15,,
July,,,,,,,2.01,2.77,0.00,0.67,,
August,,,,,,,3.82,2.11,4.90,1.48,,
September,,,,,,,3.33,2.07,1.20,4.74,,
October,,,,,,,2.01,3.23,3.21,5.08,,
November,,,,,,,2.61,0.91,3.68,3.36,,
December,,,,,,,4.18,2.92,2.92,4.86,,
Total,,,,,,,30.00,28.32,33.24,30.78,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,30.00,28.32,33.24,30.78,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
