GRANGE-OVER-SANDS HOLMCROFT,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3038,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,6.01,9.78,4.40,5.35,,3.50,5.35,4.72,10.59,2.65,6.70,
February,4.71,0.28,5.84,5.76,,5.03,6.89,3.82,5.22,1.16,0.55,
March,6.18,5.26,2.57,1.24,,1.71,2.05,3.13,3.51,1.13,3.18,
April,6.65,1.60,1.94,3.79,2.62,3.03,1.78,2.63,1.87,2.18,1.90,
May,5.88,3.25,3.66,3.66,5.94,5.80,2.90,2.19,1.28,2.32,1.91,
June,2.92,0.29,3.10,1.06,2.81,0.37,3.36,3.34,6.22,1.98,2.39,
July,7.54,2.07,6.07,5.79,4.36,2.43,5.06,4.44,6.73,4.05,3.59,
August,2.49,9.46,6.12,9.04,4.84,6.41,3.64,8.54,6.97,6.43,6.58,
September,3.93,2.21,4.86,5.83,,4.41,5.23,7.85,3.40,1.95,2.49,
October,1.74,3.54,1.43,9.61,4.32,5.66,4.17,4.85,6.37,6.79,8.00,
November,2.41,2.81,3.01,7.05,2.94,2.45,5.97,5.55,8.83,11.14,5.48,
December,4.62,7.01,5.70,5.47,6.94,3.62,1.47,1.09,4.21,7.06,3.90,
Total,55.08,47.56,48.70,63.65,,44.42,47.87,52.15,65.20,48.84,46.67,
Calc annual,55.08,47.56,48.70,63.65,34.77,44.42,47.87,52.15,65.20,48.84,46.67,
Difference,0.00,0.00,0.00,0.00,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,
