NAIRN ACADEMY STREET,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8907,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,0.59,2.45,1.18,2.18,,,,,,,
February,,0.96,0.53,0.93,0.35,,,,,,,
March,,1.05,1.24,1.48,,,,,,,,
April,,2.10,1.09,0.90,,,,,,,,
May,,0.46,3.32,1.56,,,,,,,,
June,,1.40,5.23,1.36,,,,,,,,
July,,4.57,2.85,3.57,,,,,,,,
August,,2.06,3.68,2.57,,,,,,,,
September,,4.87,3.24,5.61,,,,,,,,
October,,1.27,3.94,2.51,,,,,,,,
November,,2.76,4.24,2.84,,,,,,,,
December,,0.67,1.37,2.66,,,,,,,,
Total,,22.76,33.18,27.17,,,,,,,,
Calc annual,0.00,22.76,33.18,27.17,2.53,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
