EDMONDBYERS FARM,,,,,,,,,,
Grid ref,NZ016502,Long,-1.97661,Lat,54.846606,Elevation,850,ft,,
Station no,SN 3553/8/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.53,3.32,2.91,4.02,2.45,3.06,3.23,5.5
February,,,1.75,2.57,3.13,4.3,2.89,4.59,0.33,3.88
March,,,0.11,2,1.86,1.49,1.48,2.86,0.98,3
April,,,3.23,0.58,0.51,1.42,0.27,1.78,2.52,1.56
May,,,3.24,4.88,2.36,0.83,1.68,3.41,0.65,1.97
June,,,3.81,1.92,2.17,3.43,0.89,4.36,2.14,0.43
July,,1.45,2,1.47,1.1,3.31,3.69,3.52,0.82,5.42
August,,2.73,5.15,6.7,1.1,9.07,4.43,3.06,0.6,4.51
September,,4.36,2.51,3.01,1.51,3.6,3.47,2.59,0.95,2.51
October,,4.1,2.11,4.67,2.23,1.87,2.18,2.29,2.14,8.82
November,,3.62,1.81,5.04,1.69,0.98,1.95,0.4,5.33,3.52
December,,3.42,1.1,3.1,4.34,3.94,2.74,4.77,5.46,2.88
Total,,,27.35,39.26,24.91,38.26,28.12,36.69,25.15,44
,,,,,,,,,,
1843,EDMONDBYERS FARM ,NZ0159850188,01/01/1952,31/12/1968,,,,,,
