BURWASH (BURNT HOUSE FARM),,,,,,,,,,,,
Grid ref,TQ656239,Long,0.358218,Lat,50.990679,,,,,,,
Station no,559/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,3.58,1.23,1.76,4.21,6.03,4.30,4.69,3.51,3.14,,
February,,1.31,1.64,2.44,1.95,1.10,5.81,3.33,0.17,3.47,,
March,,3.36,0.32,3.91,1.53,0.97,1.99,1.75,2.59,2.74,,
April,,2.29,2.84,0.44,0.31,1.26,0.27,1.41,3.04,0.97,,
May,,1.37,1.37,2.14,5.76,0.49,1.34,2.60,0.74,1.97,,
June,,1.51,1.88,3.89,2.53,3.62,0.95,4.58,0.75,2.48,,
July,,0.75,5.81,4.63,2.51,4.17,4.93,2.58,2.00,4.23,,
August,,4.93,2.58,3.81,1.96,4.00,4.03,4.89,1.48,6.15,,
September,,4.58,5.77,3.26,2.27,4.30,4.05,4.86,0.16,2.78,,
October,,4.80,3.40,3.72,5.90,1.94,2.50,4.32,3.06,9.94,,
November,,5.19,2.44,7.10,1.56,1.15,3.46,2.29,5.85,9.79,,
December,,4.57,0.75,2.20,4.66,5.42,3.13,4.76,11.17,4.63,,
Total,,38.24,30.03,39.30,35.15,34.45,36.76,42.06,34.52,52.29,,
Calc annual,0.00,38.24,30.03,39.30,35.15,34.45,36.76,42.06,34.52,52.29,,
Difference,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
