PEBBLES (HIGH SCHOOL),,,,,,,,,,,,
Grid ref,NT252397,Long,-3.190026,Lat,55.645064,,,,,,,
Station no,5074/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.77,3.73,1.73,1.94,3.81,2.31,,,,
February,,,1.13,1.96,2.13,1.59,3.01,2.89,,,,
March,,,0.41,2.30,1.23,1.92,2.03,1.15,,,,
April,,1.25,2.01,0.60,0.59,0.75,0.99,1.23,,,,
May,,1.88,1.72,5.26,2.39,1.09,1.39,2.05,,,,
June,,1.84,2.72,2.35,1.19,1.98,1.51,2.93,,,,
July,,1.79,3.71,2.69,3.29,4.38,2.54,5.31,,,,
August,,3.43,2.07,4.21,1.02,6.16,4.47,3.04,,,,
September,,1.35,2.49,3.20,1.93,1.68,2.01,3.24,,,,
October,,3.83,1.48,5.95,2.31,2.21,2.34,1.68,,,,
November,,2.68,3.76,6.26,1.64,0.94,1.28,0.77,,,,
December,,3.64,2.13,4.29,4.68,5.00,4.88,-999.00,,,,
Total,,,24.40,42.80,24.13,29.64,30.26,,,,,
Calc annual,0.00,21.69,24.40,42.80,24.13,29.64,30.26,26.60,0.00,0.00,,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
