CORFE-CASTLE-WW,,,,,,,,,,
Grid ref,SY960825,Long,-2.05701,Lat,50.64279,Elevation,35,ft,,
Station no,1560/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.82,2.49,4.61,3.59,3.64
February,,,,,,0.1,3.44,2.72,0.37,3.13
March,,,,,,0.92,2.92,1.36,3.17,1.82
April,,,,,,2,0.15,0.55,2.51,1.76
May,,,,,,0.37,1.81,2.48,0.55,2.36
June,,,,,,1.7,1.02,3.27,1.12,1.65
July,,,,,,3.66,2.85,2.48,1.87,3.79
August,,,,,,3.57,3.36,3.13,1.3,5.36
September,,,,,,5.58,3.47,5.01,0.43,6.78
October,,,,,,2.29,2.91,3.01,4.03,10.82
November,,,,,,0.66,1.98,2.22,4.17,6.57
December,,,,,,5.93,2.29,4.31,8.84,3.94
Total,,,,,,31.6,28.69,35.15,31.95,51.62
,,,,,,,,,,
1960 Apr 27th Inspection Satisfactory site,,,,,,,,,,
,,,,,,,,,,
SRC_ID 7999,,,,,,,,,,
1956-1980,,,,,,,,,,
