CHRISTCHURCH,,,,,,,,,,
Grid ref,SZ154939,Long,-1.78279,Lat,50.74455,Elevation,12,ft,,
Station no,618/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.82,2.89,4.51,3.03,3.42
February,,,,,,0.14,4.04,2.73,0.34,2.68
March,,,,,,0.79,2.4,1.65,2.81,1.9
April,,,,,,1.9,0.13,0.63,2.44,1.66
May,,,,,,0.49,1.59,1.94,1.06,1.59
June,,,,,,2.1,2.08,4.18,1.2,2.53
July,,,,,1.69,2.21,3.14,1.87,2.88,3.42
August,,,,,0.65,3.42,2.41,3.18,1.53,4.47
September,,,,,1.52,5.26,2.95,4.53,0.18,6.18
October,,,,,5.38,1.42,2.41,3.73,3.95,9.46
November,,,,,3.02,0.72,2.78,3.26,4.03,5.39
December,,,,,5.21,5.56,2.24,4.14,7.24,3.19
Total,,,,,,28.83,29.06,36.35,30.69,45.89
,,,,,,,,,,
,,,,,,,,,,
1955 Oct Inspection recommends moving gauge,,,,,,,,,,
1955 Nov 4th  Instruments moved unknown distance,,,,,,,,,,
1956 Jun 5th  Inspection Excellent,,,,,,,,,,
,,,,,,,,,,
Exact location of gauge before and after move unknown so NGR taken from MIDAS,,,,,,,,,,
,,,,,,,,,,
SRC_ID 845,,,,,,,,,,
1955-2004,,,,,,,,,,
