"LAUNCESTON HEXWORTHY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,5.43,1.35,3.91,7.57,1.55,,1.95,,,,,
February,6.66,2.04,3.74,2.13,5.97,,6.56,,,,,
March,1.16,2.36,6.02,4.86,7.68,0.55,2.20,,,,,
April,2.52,2.49,0.16,6.18,1.87,1.16,0.84,,,,,
May,2.56,2.76,2.01,3.45,1.27,2.74,1.50,,,,,
June,1.58,4.10,4.99,1.30,2.16,1.70,2.44,,,,,
July,2.75,0.80,2.61,0.75,5.82,4.46,0.90,,,,,
August,4.85,2.05,9.59,1.66,2.81,2.04,3.18,,,,,
September,0.13,2.50,1.26,2.68,3.19,1.48,1.79,,,,,
October,5.68,4.12,4.76,5.53,3.12,4.21,6.95,,,,,
November,6.00,5.75,3.03,5.24,4.58,3.20,7.38,,,,,
December,8.45,12.11,6.58,,,9.66,4.22,,,,,
Total,47.77,42.43,48.66,,,,39.91,,,,,
Calc annual,47.77,42.43,48.66,41.35,40.02,31.20,39.91,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,,
