GLOUCESTER COTSWOLD SANATORIUM,,,,,,,,,,,,
Grid ref,SO904133,Long,-2.140675,Lat,51.818243,,,,,,,
Station no,RR8758,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.06,1.51,0.74,,3.78,0.90,5.02,,,,,
February,7.45,1.48,1.27,,4.85,0.92,1.97,,,,,
March,1.29,3.93,1.69,,1.60,4.20,1.38,,,,,
April,1.21,2.78,2.08,,1.05,2.99,,,,,,
May,3.02,1.34,1.88,,2.57,0.55,,,,,,
June,3.95,2.27,3.03,,1.23,4.45,,,,,,
July,1.96,2.02,1.25,,2.96,2.11,,,,,,
August,4.08,1.94,2.37,,2.70,5.20,,,,,,
September,0.67,2.24,1.22,,2.79,1.68,,,,,,
October,3.32,1.14,1.95,,1.22,1.30,,,,,,
November,2.22,1.08,2.59,,1.77,4.14,,,,,,
December,7.07,5.41,2.32,,2.44,0.81,,,,,,
Total,39.30,27.14,22.39,,28.96,29.25,,,,,,
Calc annual,39.30,27.14,22.39,0.00,28.96,29.25,8.37,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,NaN,0.00,0.00,NaN,NaN,NaN,NaN,,
