"HUNSTANWORTH (CROSS HILL)",,,,,,,,,,,,
Grid ref,NY942483,Long,-2.091810,Lat,54.829499,,,,,,,
Station no,RR4095,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,-999.00,0.86,3.72,4.54,3.76,3.39,3.17,3.36,6.27,,
February,,,1.62,2.95,3.70,4.67,3.15,3.96,0.36,4.33,,
March,,,0.30,1.83,2.36,1.68,1.83,2.58,1.37,2.97,,
April,,,3.23,0.65,0.46,1.22,0.41,1.45,3.18,1.83,,
May,,,2.72,5.95,2.75,0.87,1.48,4.34,0.87,2.04,,
June,,-999.00,4.24,2.27,2.72,3.34,0.89,4.00,2.13,0.45,,
July,,1.99,1.74,1.26,1.34,3.54,3.61,3.92,1.65,5.22,,
August,,3.26,4.17,8.53,1.20,9.46,6.00,3.35,0.62,3.91,,
September,,4.79,3.53,3.74,1.60,4.08,3.45,2.91,0.88,2.75,,
October,,5.22,2.30,5.80,2.45,2.22,2.74,2.03,2.27,10.25,,
November,,3.48,2.66,6.44,1.95,1.01,2.83,0.47,5.51,4.37,,
December,,3.93,1.58,3.96,4.88,4.65,3.47,5.20,6.68,3.64,,
Total,,,28.95,47.10,29.95,40.50,33.25,37.38,28.88,48.03,,
Calc annual,0.00,22.67,28.95,47.10,29.95,40.50,33.25,37.38,28.88,48.03,,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
