"GOSFORTH BOLTON HALL",,,,,,,,,,,,
Grid ref,NY087026,Long,-3.408231,Lat,54.410629,,,,,,,
Station no,RR4490,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.72,2.91,3.45,3.33,4.89,2.32,4.86,2.53,4.64,2.54,,
February,5.27,1.92,1.91,3.67,3.39,3.04,3.75,2.19,2.89,3.46,,
March,0.69,2.77,3.82,5.78,3.83,3.79,2.29,5.27,4.66,3.64,,
April,2.69,3.25,2.17,2.13,3.14,4.78,2.25,4.07,2.61,3.86,,
May,3.16,1.64,3.78,2.52,3.04,3.18,7.23,5.76,3.80,3.39,,
June,3.62,3.19,1.46,2.60,1.34,2.83,2.51,8.37,2.09,2.69,,
July,2.72,1.62,4.49,5.74,3.25,2.67,3.81,3.08,4.11,7.87,,
August,7.47,7.49,4.12,5.74,3.93,3.93,6.94,6.26,4.90,4.09,,
September,4.70,2.93,2.03,6.84,2.92,4.19,1.92,0.90,6.20,3.03,,
October,6.70,7.07,4.52,9.22,3.35,4.72,6.19,9.73,2.34,10.19,,
November,4.80,4.59,3.35,4.65,4.50,4.95,3.86,6.15,4.15,2.19,,
December,5.73,5.05,4.82,2.93,4.20,2.98,3.61,7.81,3.96,9.05,,
Total,52.27,44.43,39.92,55.15,41.78,43.38,49.22,62.12,46.35,56.00,,
Calc annual,52.27,44.43,39.92,55.15,41.78,43.38,49.22,62.12,46.35,56.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
