KIRK MICHAEL,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7423,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,4.75,3.78,6.83,5.82,3.60,,,,,,,
February,5.72,3.13,6.72,2.86,2.34,,,,,,,
March,2.92,2.19,3.27,3.94,,,,,,,,
April,0.78,2.40,2.18,0.23,,,,,,,,
May,3.59,0.10,1.76,1.18,,,,,,,,
June,0.92,2.13,5.16,0.19,,,,,,,,
July,0.96,1.75,4.22,2.28,,,,,,,,
August,1.42,1.79,3.69,2.08,,,,,,,,
September,3.88,3.53,4.90,1.69,,,,,,,,
October,8.74,4.69,6.36,2.45,,,,,,,,
November,2.71,3.32,5.90,1.89,,,,,,,,
December,4.54,5.19,8.33,1.33,,,,,,,,
Total,40.93,34.00,59.32,25.94,,,,,,,,
Calc annual,40.93,34.00,59.32,25.94,5.94,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
