LUSTLEIGH-TOTTIFORD,,,,,,,,,,,,,,,,,,,,
Grid ref,SX808824,Long,-3.686699,Lat,50.629077,Elevation,790,ft,,,,,,,,,,,,
Station no,1737/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.34,4.07,4.22,0.9,2.28,6.85,5.28,3.88,5.38,6.81,5.2
February,,,,,,,,,,7.78,6.06,0.79,1.67,3.94,3.84,0.34,7.78,5.62,0.4,7.94
March,,,,,,,,,,2.4,4.23,3.51,1.04,4.11,2.49,2.17,5.37,3.15,5.74,4.64
April,,,,,,,,,,2.48,2,3.91,3.27,0.21,1.33,0.84,0.35,0.8,4.58,3.66
May,,,,,,,,,,3.62,3.01,3.01,3.77,3.29,4.11,1.22,2.56,4.43,1.64,2.82
June,,,,,,,,,,1.25,1.09,0.86,2.98,4.42,3.71,2.1,3.07,4.55,1.57,1.83
July,,,,,,,,,,5.07,2.25,1.33,2.43,2.56,2.96,4.76,4.09,2.99,2.45,4.46
August,,,,,,,,,,5.14,4.68,6.19,2.14,3.17,0.68,3.38,3.04,4.69,3.34,4.53
September,,,,,,,,,,4.68,5.19,3.79,4.68,4.14,1.87,7.92,3.23,5.51,0.31,10.22
October,,,,,,,,,,1.87,1.57,7.38,4.7,3.54,2.78,2.72,2.22,3.89,4.75,13.05
November,,,,,,,,,,8.65,7.35,4.93,2.75,10.46,5.36,2.27,3,2.35,10.74,7.02
December,,,,,,,,,,3.73,3.91,3.72,1.08,4.12,7.22,6.97,3.94,5.52,9.94,5.23
Total,,,,,,,,,,48.01,45.41,43.64,31.41,46.24,43.2,39.97,42.53,48.88,52.27,70.6
