GLEN FRUIN (AUCHINGAICH RESERVOIR SOUTH),,,,,,,,,,,,,,,,,,,,
Grid ref,NS275915,Long,-4.773852,Lat,56.085085,Elevation,800,ft,,,,,,,,,,,,
Station no,5330/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,7.88,9.3,6.68,4.69,8.25,4.26,7.19,10.67,8.47,3.15,2.81
February,,,,,,,,,8,8.96,4.68,2.91,4.24,6.43,2.46,1.86,4.97,3.62,3.55,7
March,,,,,,,,,5.93,5.21,5.33,6.08,2.52,5.01,1.98,5.28,8.39,1.41,6.46,5.62
April,,,,,,,,,,3.28,3.88,2.52,3.72,3.46,3.95,1.8,4.92,1.98,5.5,7.4
May,,,,,,,,,3.33,2.34,3.78,2.17,4.14,4.2,5.45,4.09,3.47,6.14,2.81,4.94
June,,,,,,,,,2.06,3.68,2.67,4.33,1.74,4.93,4.31,5.1,3,2.85,4.65,5.08
July,,,,,,,,6.41,3.79,10.29,4.88,2.42,8.35,3.98,2.03,6.32,7.94,7.9,9.82,7.24
August,,,,,,,,8.82,5.64,8.79,8.42,4.73,6.03,2.58,2.56,7.35,7.52,8.83,3.15,5.56
September,,,,,,,,8.17,4.13,13.52,4.09,5.81,9.01,10.41,6.63,7.81,5.19,5.21,2.88,5.45
October,,,,,,,,13.73,7.32,7.68,2.24,8.43,5.17,15.87,6.75,4.91,7.52,5.57,6.44,4.97
November,,,,,,,,5.46,10.14,6.22,11.86,2.92,12.54,8.86,5.31,3.23,5.12,2.55,8.55,7.98
December,,,,,,,,8.35,16.83,3.75,13.18,7.72,5.03,15.81,10.35,10.58,8.98,7.55,15.17,9.74
Total,,,,,,,,,,81.6,74.31,56.72,67.18,89.79,56.04,65.52,77.69,62.08,72.13,73.79
,,,,,,,,,,,,,,,,,,,,
1949 NP too much Est Ja Ap +T Deleted,,,,,,,,,,,,,,,,,,,,
1952  Feb Mar Estd,,,,,,,,,,,,,,,,,,,,
1957 Ju Estd,,,,,,,,,,,,,,,,,,,,
1959 NP Irregular,,,,,,,,,,,,,,,,,,,,
1960 NP,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5330/4,,,,,,,,,,,,,,,,,,,
Midas,13747,,,,,,,,,,,,,,,,,,,
Hyd Stn,663124,,,,,,,,,,,,,,,,,,,
