"COLCHESTER (KINGS FORD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1316,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,1.76,0.62,1.32,1.30,2.75,,,,,,,
February,2.55,0.34,1.08,0.23,2.80,,,,,,,
March,0.22,1.02,1.49,1.85,0.50,,,,,,,
April,2.78,2.06,0.71,2.17,2.58,,,,,,,
May,2.13,2.94,1.44,1.01,1.28,,,,,,,
June,1.20,0.58,1.91,1.43,3.09,,,,,,,
July,3.47,2.24,0.82,1.13,0.19,,,,,,,
August,3.62,0.93,0.57,1.44,1.63,,,,,,,
September,1.80,1.63,1.73,1.50,3.56,,,,,,,
October,0.60,5.17,1.88,1.92,2.23,,,,,,,
November,1.50,1.05,1.12,1.40,4.07,,,,,,,
December,0.49,0.29,0.48,4.68,2.54,,,,,,,
Total,22.12,18.87,14.55,20.06,27.22,,,,,,,
Calc annual,22.12,18.87,14.55,20.06,27.22,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
