BOLSOVER COLLIERY,,,,,,,,,,,,
Grid ref,SK465710,Long,-1.304813,Lat,53.234007,,,,,,,
Station no,2715/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.78,1.85,2.28,5.07,1.75,2.90,1.83,4.17,,
February,,,1.85,2.85,2.49,1.52,2.67,3.32,0.09,2.20,,
March,,,1.72,2.38,2.89,0.69,1.73,1.78,0.96,1.98,,
April,,,2.40,0.30,0.66,2.16,0.15,0.63,2.82,1.02,,
May,,,2.52,3.84,2.97,0.51,1.03,2.41,0.96,1.24,,
June,,,2.25,2.52,2.88,3.54,2.01,4.93,1.28,1.29,,
July,,,3.19,1.83,1.45,3.35,3.48,4.64,1.14,3.22,,
August,,,1.39,6.20,0.73,6.41,4.10,1.59,0.92,3.53,,
September,,,1.50,2.10,0.72,3.09,4.97,1.96,0.00,4.34,,
October,,,1.67,2.86,2.97,1.22,1.13,1.87,2.20,5.51,,
November,,1.56,1.48,5.26,2.58,0.97,2.68,0.65,3.71,3.61,,
December,,1.64,1.16,2.42,2.43,3.30,2.35,3.00,3.66,2.72,,
Total,,,21.91,34.41,25.05,31.83,28.05,29.68,19.57,34.83,,
Calc annual,0.00,3.20,21.91,34.41,25.05,31.83,28.05,29.68,19.57,34.83,,
Difference,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
