WEST-DUNKERY,,,,,,,,,,
Grid ref,SS880418,Long,-3.603179,Lat,51.164447,Elevation,1581,ft,,
Station no,2097/3/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,9.69,1.95,3.74,8.64,9.6,11.38,7.75,8.64,7.26
February,,2.25,3.04,7.17,5.13,0.66,9.49,8.71,0.52,10.51
March,,4.65,2.47,,2.8,3.2,7.5,2.1,6,3.52
April,,5.91,5.06,1.56,3.29,2.07,0.31,2.09,6.92,4.78
May,,4.08,4.1,4.3,8.05,1.25,3.65,7.42,1.95,2.02
June,,2.92,2.66,5.53,4.76,3.46,1.94,4.14,3.48,3.29
July,2.17,2.61,6.71,6.54,2.33,,6.45,5.3,3.95,8.54
August,7.1,11.16,6.67,6.37,0.87,6.26,6.73,6.57,4.84,4.65
September,6.52,6.63,8.22,9.85,3.62,11.55,10.39,10.88,0.56,6.28
October,2.99,8.8,4.5,10,3.9,3.99,8.15,6.38,8.72,13.04
November,13,,6.34,16.21,6.06,2.16,3.45,4.14,10.5,14.13
December,8.32,7.25,2.45,8.46,10.51,9.99,5.98,7.27,18.18,14.08
Total,,,54.17,,59.96,,75.42,72.75,74.26,92.1
,,,,,,,,,,
1951 Jan-June Estimated,,,,,,,,,,
1952 Jan Marked as estimated Poss for snow,,,,,,,,,,
1952 Nov Estimated,,,,,,,,,,
1953 Feb Marked as estimated Poss for snow,,,,,,,,,,
1954 Mar Estimated,,,,,,,,,,
1956 July Estimated,,,,,,,,,,
1956 Dec Adjusted for snow,,,,,,,,,,
1959 Feb Marked as estimated Poss for snow,,,,,,,,,,
1959 Name changed from Gorsemoor to West Dunkery,,,,,,,,,,
,,,,,,,,,,
SRC_ID 9019,,,,,,,,,,
1951-1967,,,,,,,,,,
In 1967 a new station called West Dunkery No 2 was started 650yds WSW and is still in use,,,,,,,,,,
