CANFORD (KNIGHTON FARM),,,,,,,,,,,,
Grid ref,SZ050976,Long,-1.930450,Lat,50.777958,,,,,,,
Station no,1607/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,3.01,5.03,3.56,3.64,,
February,,,,,,,4.28,2.80,0.35,3.33,,
March,,,,,,,2.77,2.01,3.86,1.91,,
April,,,,,,,0.25,0.88,2.65,2.16,,
May,,,,,,,2.06,2.20,0.84,2.62,,
June,,,,,,,2.02,4.76,1.82,2.19,,
July,,,,,,,3.11,1.99,1.88,3.77,,
August,,,,,,,3.66,3.79,1.57,5.22,,
September,,,,,,,3.29,4.27,0.46,4.69,,
October,,,,,,,2.80,4.71,3.31,10.09,,
November,,,,,,,2.23,2.83,3.69,7.49,,
December,,,,,,,2.65,4.39,9.04,3.95,,
Total,,,,,,,32.13,39.66,33.03,51.06,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,32.13,39.66,33.03,51.06,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,,
