ARDTALNAIG (OLD SCHOOLHOUSE),,,,,,,,,,
Grid ref,NN701391,Long,-4.113299,Lat,56.525926,Elevation,465,ft,,
Station no,5556/59,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,5.19,2.19,3.27
February,,,,,,,,3.05,1.55,6.24
March,,,,,,,,1.5,4.4,1.93
April,,,,,,,,1.69,4.51,5.3
May,,,,,,,,3.69,1.13,3.77
June,,,,,,,,4.08,2.56,2.34
July,,,,,,,3.74,4.64,5.57,2.96
August,,,,,,,4.79,5.8,2.28,3.89
September,,,,,,,2.37,5.14,1,4.16
October,,,,,,,3.43,3.94,5.87,7.34
November,,,,,,,1.63,1.14,8.67,7.73
December,,,,,,,7,8.73,11.48,6.41
Total,,,,,,,,48.59,51.21,55.34
,,,,,,,,,,
Station no,5556/59,,,,,,,,,
Midas,15115,,,,,,,,,
Hyd Stn,861805,,,,,,,,,
